2019-12-31 10:01:49.082| main | INFO |  -  | Tomcat started on port(s): 8112 (http) with context path '' | [org.springframework.boot.web.embedded.tomcat.TomcatWebServer:202]
2019-12-31 10:01:49.084| main | INFO |  -  | Updating port to 8112 | [org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration:145]
2019-12-31 10:01:49.085| main | INFO |  -  | Updating port to 8112 | [org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration:145]
2019-12-31 10:01:49.088| main | INFO |  -  | Started CloudAuthApplication in 25.403 seconds (JVM running for 27.609) | [org.springframework.boot.StartupInfoLogger:59]
2019-12-31 10:01:51.015| RMI TCP Connection(6)-127.0.0.1 | INFO |  -  | Initializing Spring DispatcherServlet 'dispatcherServlet' | [org.apache.juli.logging.DirectJDKLog:173]
2019-12-31 10:01:51.015| RMI TCP Connection(6)-127.0.0.1 | INFO |  -  | Initializing Servlet 'dispatcherServlet' | [org.springframework.web.servlet.FrameworkServlet:524]
2019-12-31 10:01:51.047| RMI TCP Connection(6)-127.0.0.1 | INFO |  -  | Completed initialization in 32 ms | [org.springframework.web.servlet.FrameworkServlet:546]
2019-12-31 10:01:51.149| RMI TCP Connection(7)-127.0.0.1 | INFO |  -  | Fetching config from server at : http://192.168.10.93:1112/ | [org.springframework.cloud.config.client.ConfigServicePropertySourceLocator:207]
2019-12-31 10:01:52.595| RMI TCP Connection(7)-127.0.0.1 | INFO |  -  | Located environment: name=cloud-auth, profiles=[dev], label=dev, version=62297162f7cee2024cdd06a6b831e375585c0287, state=null | [org.springframework.cloud.config.client.ConfigServicePropertySourceLocator:151]
2019-12-31 10:06:34.282| http-nio-8112-exec-1 | INFO |  -  | Flipping property: cloud-basic.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647 | [com.netflix.config.ChainedDynamicProperty$ChainLink:115]
2019-12-31 10:06:34.357| http-nio-8112-exec-1 | INFO |  -  | Shutdown hook installed for: NFLoadBalancer-PingTimer-cloud-basic | [com.netflix.util.concurrent.ShutdownEnabledTimer:58]
2019-12-31 10:06:34.359| http-nio-8112-exec-1 | INFO |  -  | Client: cloud-basic instantiated a LoadBalancer: DynamicServerListLoadBalancer:{NFLoadBalancer:name=cloud-basic,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null | [com.netflix.loadbalancer.BaseLoadBalancer:197]
2019-12-31 10:06:34.398| http-nio-8112-exec-1 | INFO |  -  | Using serverListUpdater PollingServerListUpdater | [com.netflix.loadbalancer.DynamicServerListLoadBalancer:222]
2019-12-31 10:06:34.449| http-nio-8112-exec-1 | INFO |  -  | Flipping property: cloud-basic.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647 | [com.netflix.config.ChainedDynamicProperty$ChainLink:115]
2019-12-31 10:06:34.456| http-nio-8112-exec-1 | INFO |  -  | DynamicServerListLoadBalancer for client cloud-basic initialized: DynamicServerListLoadBalancer:{NFLoadBalancer:name=cloud-basic,current list of Servers=[192.168.10.93:8111],Load balancer stats=Zone stats: {defaultzone=[Zone:defaultzone;	Instance count:1;	Active connections count: 0;	Circuit breaker tripped count: 0;	Active connections per server: 0.0;]
},Server stats: [[Server:192.168.10.93:8111;	Zone:defaultZone;	Total Requests:0;	Successive connection failure:0;	Total blackout seconds:0;	Last connection made:Thu Jan 01 08:00:00 CST 1970;	First connection made: Thu Jan 01 08:00:00 CST 1970;	Active Connections:0;	total failure count in last (1000) msecs:0;	average resp time:0.0;	90 percentile resp time:0.0;	95 percentile resp time:0.0;	min resp time:0.0;	max resp time:0.0;	stddev resp time:0.0]
]}ServerList:org.springframework.cloud.netflix.ribbon.eureka.DomainExtractingServerList@24b9803 | [com.netflix.loadbalancer.DynamicServerListLoadBalancer:150]
2019-12-31 10:06:35.422| PollingServerListUpdater-0 | INFO |  -  | Flipping property: cloud-basic.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647 | [com.netflix.config.ChainedDynamicProperty$ChainLink:115]
2019-12-31 10:06:41.098| http-nio-8112-exec-1 | WARN |  -  | Handling error: ClassCastException, org.springframework.security.core.userdetails.User cannot be cast to com.cloud.auth.entity.SUserEntity | [org.springframework.security.oauth2.provider.endpoint.TokenEndpoint:169]
2019-12-31 10:06:41.209| AsyncReporter{org.springframework.cloud.sleuth.zipkin2.sender.RestTemplateSender@1f6d3a81} | INFO |  -  | Flipping property: localhost.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647 | [com.netflix.config.ChainedDynamicProperty$ChainLink:115]
2019-12-31 10:06:41.229| AsyncReporter{org.springframework.cloud.sleuth.zipkin2.sender.RestTemplateSender@1f6d3a81} | INFO |  -  | Shutdown hook installed for: NFLoadBalancer-PingTimer-localhost | [com.netflix.util.concurrent.ShutdownEnabledTimer:58]
2019-12-31 10:06:41.239| AsyncReporter{org.springframework.cloud.sleuth.zipkin2.sender.RestTemplateSender@1f6d3a81} | INFO |  -  | Client: localhost instantiated a LoadBalancer: DynamicServerListLoadBalancer:{NFLoadBalancer:name=localhost,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null | [com.netflix.loadbalancer.BaseLoadBalancer:197]
